xSDXuo9OEH.bonus.OG_XxtbnEa,count,22538,correct,8722,incorrect,13816,,,,,,,,
FmeMEBRHmB.bonus.24M2DNktUG,count,13096,correct,5221,incorrect,7875,,,,,,,,
Syxag5tFow.parta.kg0JZgPiTI,count,12672,correct,5054,incorrect,7618,,,,,,,,
vhNHpIMRdy.bonus.eLOGyMxY9l,count,9537,correct,2827,incorrect,6710,,,,,,,,
ybQjHvfg2c.set3.g6AvjSfSOS,count,10430,correct,4298,incorrect,6132,,,,,,,,
_d1qnEqMYs.partb.TIL71Bb5gj,count,13588,correct,7603,incorrect,5985,,,,,,,,
9wRCzK1G7F.partb.SHkv5F_Yzi,count,17274,correct,11732,incorrect,5542,,,,,,,,
YN4n4X5GRF.bonus.Q5XY-9tBFu,count,18937,correct,13909,incorrect,5028,,,,,,,,
9lR_FPzwCd.bonus.8s9eW1tfNC,count,9908,correct,4903,incorrect,5005,,,,,,,,
i6oohsyMz7.set3.CxEY9jOJBd,count,8278,correct,3422,incorrect,4856,,,,,,,,
HaXmMUnltl.bonus.WB6U9OhvZi,count,14907,correct,10166,incorrect,4741,,,,,,,,
9wRCzK1G7F.partb.12d_Yq8M01,count,18714,correct,14092,incorrect,4622,,,,,,,,
HaXmMUnltl.bonus.iSVRZi8cDU,count,7444,correct,2827,incorrect,4617,,,,,,,,
ybQjHvfg2c.set3.LV36t2Rx84,count,10014,correct,5410,incorrect,4604,,,,,,,,
GDzfwQ0hUc.partb.VA0yx7A-sg,count,10738,correct,6143,incorrect,4595,partitioning_number_line,9670,wrong_number_parts,9670,,,,
Syxag5tFow.parta.4uhLJUrGVY,count,9864,correct,5275,incorrect,4589,,,,,,,,
Syxag5tFow.parta.L787Wc5i9t,count,8220,correct,3646,incorrect,4574,,,,,,,,
CBlS29bK3e.bonus.PGlz0fqOD4,count,9404,correct,5014,incorrect,4390,,,,,,,,
cc2hMzkpZS.bonus.IgkDe5TlWX,count,6168,correct,1860,incorrect,4308,,,,,,,,
4k5A96wn9O.bonus.own60XCXcP,count,8070,correct,3876,incorrect,4194,,,,,,,,
9lR_FPzwCd.bonus.OAxnn7K-Hu,count,7769,correct,3608,incorrect,4161,,,,,,,,
UlJYoQjOUR.parta.byIwJMROwV,count,15843,correct,11765,incorrect,4078,,,,,,,,
dTZlXODVzW.partb.C-vQPXkMlZ,count,11729,correct,7729,incorrect,4000,identifying_gt_lt,10791,,,,,,
Hdh7jWG_R9.bonus.wKSdVt2Jh_,count,9100,correct,5189,incorrect,3911,,,,,,,,
_d1qnEqMYs.parta.N9q-tGrwIq,count,7661,correct,3781,incorrect,3880,,,,,,,,
ZblwKs-kGZ.bonus.YW-9tGkI85,count,6373,correct,2712,incorrect,3661,,,,,,,,
jfcWb-M0Xi.partb.GOR33kAvQP,count,10114,correct,6461,incorrect,3653,modeled_incorrect_comparison,9200,modeled_incorrect_numerator,9200,,,,
FAc5tNCV_4.bonus.aZbNamcR2J,count,8175,correct,4531,incorrect,3644,,,,,,,,
yOAO1mViz1.bonus._m5xSo51Db,count,10369,correct,6803,incorrect,3566,,,,,,,,
_d1qnEqMYs.partb._ABYe-hCAX,count,9267,correct,5726,incorrect,3541,,,,,,,,
dTZlXODVzW.partb.DFVJOlPQya,count,10883,correct,7361,incorrect,3522,identifying_gt_lt,9943,,,,,,
9wRCzK1G7F.partb.qGGEQyiE_j,count,16848,correct,13375,incorrect,3473,,,,,,,,
tSdQWOdADI.parta.9jFTpfU8tQ,count,6224,correct,2776,incorrect,3448,deci_placing_decimal_points,5681,,,,,,
_trDQgmx9g.bonus.S2xjdLDOgA,count,15827,correct,12427,incorrect,3400,,,,,,,,
jun0JnZOzp.partb.KZaKiNiS96,count,11552,correct,8245,incorrect,3307,,,,,,,,
ybQjHvfg2c.set3.xs5z3rGDo_,count,9418,correct,6201,incorrect,3217,,,,,,,,
g9E7rVITBf.parta.ME66YMa2ME,count,8084,correct,4880,incorrect,3204,counting_hops_not_ticks,6747,,,,,,
6nBHKepQ3Y.partb.7lvMUbNqVW,count,5278,correct,2116,incorrect,3162,partially_drawn_parts,5253,equally_sized_parts,5253,,,,
6nBHKepQ3Y.partb.O6QjjkRHBE,count,5438,correct,2307,incorrect,3131,partially_drawn_parts,5408,equally_sized_parts,5408,,,,
C2zASvJwfe.bonus.xFMqj_ZBPb,count,10461,correct,7339,incorrect,3122,,,,,,,,
i6oohsyMz7.set3.PWWR5vLWNw,count,6277,correct,3195,incorrect,3082,,,,,,,,
vhNHpIMRdy.bonus.eYxdtPAWv4,count,8548,correct,5472,incorrect,3076,,,,,,,,
vRd3MLG_uO.bonus.EvOym346lc,count,9192,correct,6136,incorrect,3056,,,,,,,,
jun0JnZOzp.partb.eWKYC_9q0u,count,11393,correct,8404,incorrect,2989,,,,,,,,
1zsCldT4p8.set1.WyMwZNGvNF,count,10444,correct,7488,incorrect,2956,how_to_model,9949,,,,,,
skZ5Frletc.bonus.kisRxId1hz,count,4279,correct,1324,incorrect,2955,,,,,,,,
pbkIT_tXjr.bonus.03ESLy9JFK,count,7754,correct,4821,incorrect,2933,,,,,,,,
9wRCzK1G7F.partb.75ayW9Wz4k,count,14604,correct,11730,incorrect,2874,,,,,,,,
zv0QVrEHF1.set1.L-DQPeM-G_,count,4710,correct,1846,incorrect,2864,,,,,,,,
FmeMEBRHmB.bonus._fexXfIYm8,count,4930,correct,2077,incorrect,2853,,,,,,,,
Syxag5tFow.parta.31JyaBd0g4,count,10301,correct,7467,incorrect,2834,,,,,,,,
kvig7fcCVc.partb.3y7UMHuR_i,count,16787,correct,14013,incorrect,2774,,,,,,,,
jfcWb-M0Xi.partb.k80k9JQG8U,count,6894,correct,4153,incorrect,2741,modeled_incorrect_comparison,6342,modeled_incorrect_numerator,6342,,,,
1zsCldT4p8.set1.TUEReKKIiH,count,10324,correct,7594,incorrect,2730,how_to_model,9832,,,,,,
rv3Gjmc151.partb.E5uYEQ4WSA,count,5370,correct,2646,incorrect,2724,simplifying_bars_2,5089,,,,,,
9wRCzK1G7F.parta.NxWueNsFnx,count,13071,correct,10348,incorrect,2723,,,,,,,,
TZOGMmlEEk.partb.r_grye8Y7c,count,5599,correct,2886,incorrect,2713,,,,,,,,
TJxldqZMXd.partb.gqJqOrIhu_,count,18311,correct,15647,incorrect,2664,,,,,,,,
1zsCldT4p8.set1.dXfcvEMn40,count,10326,correct,7665,incorrect,2661,how_to_model,9836,,,,,,
DebcfZEEmI.proper_fractions.y8aac-5tTv,count,11154,correct,8519,incorrect,2635,,,,,,,,
UlJYoQjOUR.partb.ER0z0eSNUG,count,13421,correct,10799,incorrect,2622,,,,,,,,
1zsCldT4p8.set1.Gke2-0HW_z,count,10244,correct,7626,incorrect,2618,how_to_model,9809,,,,,,
TJxldqZMXd.parta.mX-oxW9N0b,count,9115,correct,6518,incorrect,2597,,,,,,,,
